feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__Streptococcus.parasanguinis_D	Group	D	2.09618958721121	0.505575380455025	74	49	9.34497493803662e-05	0.0412099460158908
d__Bacteria.p__Firmicutes_A.c__Clostridia.o__Christensenellales.f__CAG.74.g__Aphodomonas.s__Aphodomonas.merdavium	Group	C	1.98083633488717	0.463810814303673	74	16	6.02074163307165e-05	0.0412099460158908
d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__Streptococcus.parasanguinis_B	Group	D	2.10777691077446	0.506842223535224	74	51	8.94463156905257e-05	0.0412099460158908
d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__Streptococcus.sp902373455	Group	D	1.93659327818506	0.466160811858418	74	41	9.08043340787324e-05	0.0412099460158908
d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__Streptococcus.sp902836505	Group	D	1.97086249294828	0.46618239318858	74	40	7.01502985438681e-05	0.0412099460158908
d__Bacteria.p__Firmicutes_A.c__Clostridia.o__Monoglobales.f__Monoglobaceae.g__Roslinia.s__Roslinia.caecavium	Group	C	1.884913307758	0.44637824524469	74	8	7.13965009387636e-05	0.0412099460158908
d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Atopobiaceae.g__Lancefieldella.s__Lancefieldella.parvula	Group	D	1.7051448567463	0.411015228099483	74	20	9.2644879300545e-05	0.0412099460158908
d__Bacteria.p__Firmicutes_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__UBA9414.s__UBA9414.sp003458885	Group	D	1.06079673767347	0.257571024257206	74	74	0.000102941689980909	0.0415425768843881
d__Bacteria.p__Firmicutes_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__An181.s__An181.sp002160325	Group	D	1.34044452801168	0.326634910212101	74	52	0.000108338869629375	0.0415425768843881
d__Bacteria.p__Firmicutes_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Ventrimonas.s__Ventrimonas.sp009911065	Group	D	1.44063924429331	0.351366187518102	74	30	0.000109740557636896	0.0415425768843881
d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__Streptococcus.sp003521145	Group	D	1.18347538919635	0.288007327162392	74	74	0.00010632593725371	0.0415425768843881
d__Bacteria.p__Firmicutes_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Eubacterium_J.s__Eubacterium_J.sp910586045	Group	D	1.29333451194437	0.31669646514086	74	11	0.000116130251658485	0.0428341966694182
d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Collinsella.s__Collinsella.sp900549455	Age	Age	-0.69245769552895	0.170526069595908	74	63	0.000125822928919657	0.0441516661073986
d__Bacteria.p__Firmicutes_A.c__Clostridia.o__Christensenellales.f__CAG.74.g__Fimadaptatus.s__Fimadaptatus.faecigallinarum	Group	C	2.66772021571049	0.656964912601508	74	31	0.0001258406889401	0.0441516661073986
d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__Streptococcus.alactolyticus	Group	D	1.5032501443419	0.371357612113394	74	17	0.000131488345115459	0.0450347582020448
d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__Streptococcus.sp000187445	Group	D	1.3548122098669	0.335753107074587	74	74	0.000137451848445223	0.0459824381368494
d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Lactococcus.s__Lactococcus.hircilactis	Group	D	1.40182226275095	0.348019391632552	74	12	0.000140881263317959	0.0460585675642917
d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__Streptococcus.parasanguinis_A	Group	D	1.93718982814116	0.481943738348394	74	54	0.000145051644375412	0.0463681756520068
d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__Streptococcus.parasanguinis_F	Group	D	1.92380074420164	0.482723035142686	74	56	0.000163155508315826	0.0470701302443718
d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__Streptococcus.intermedius	Group	D	1.6304812477718	0.409205871709371	74	23	0.000163608377630767	0.0470701302443718
d__Bacteria.p__Firmicutes_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Blautia_A.s__Blautia_A.excrementipullorum	Group	D	0.867443788028452	0.216875008972182	74	72	0.000155271893224891	0.0470701302443718
d__Bacteria.p__Firmicutes_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Clostridium_Q.s__Clostridium_Q.symbiosum	Group	D	1.6907405661479	0.423099627535105	74	72	0.000157235523898772	0.0470701302443718
d__Bacteria.p__Firmicutes_A.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Fournierella.s__Fournierella.excrementigallinarum	Group	C	1.30156439221712	0.326258251753784	74	9	0.000160900094213571	0.0470701302443718
