feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
d__Bacteria.p__Firmicutes_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Enterocloster.s__Enterocloster.sp900770345	Group	D	0.955340858744858	0.158382264182092	74	73	6.88228714599006e-08	0.00099001700595067
d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Aerococcaceae.g__Granulicatella.s__Granulicatella.sp001058355	Group	D	2.05012505015916	0.402302049577051	74	31	2.82176939662207e-06	0.0160527396505909
d__Bacteria.p__Firmicutes_A.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Ruthenibacterium.s__Ruthenibacterium.sp013316265	Group	C	2.41113344124038	0.485944465684922	74	45	4.71672804177862e-06	0.0160527396505909
d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__Streptococcus.parasanguinis_G	Group	D	2.28391559022518	0.471750044538807	74	48	7.44084815698077e-06	0.0160527396505909
d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__Streptococcus.sp001813295	Group	D	2.21686951571399	0.458981007441898	74	51	7.76682190181976e-06	0.0160527396505909
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Prevotella.s__Prevotella.sp900769055	Group	C	-2.07838572930905	0.418196103624645	74	15	4.57284628686208e-06	0.0160527396505909
d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__Streptococcus.sp001578805	Group	D	2.03817492681507	0.422117417864734	74	30	7.81155214140676e-06	0.0160527396505909
d__Bacteria.p__Firmicutes_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Anaerostipes.s__Anaerostipes.sp018381315	Group	D	1.86923146903658	0.390966274707691	74	37	9.33326138566726e-06	0.016782370629103
d__Bacteria.p__Firmicutes_A.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__NSJ.62.s__NSJ.62.sp014334055	Group	D	-1.72058201072882	0.370560899913778	74	61	1.55936411103429e-05	0.0224314527372282
d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__Streptococcus.sp900755085	Group	D	2.03800055974455	0.437575743408558	74	28	1.47899471989053e-05	0.0224314527372282
